,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Detroit Pistons,23,16,7,0.696,48.9,87.1,31.4,76.3,41.2,4.2,13.9,30.4,20.1,27.3,73.4,12.9,32.0,44.8,19.4,14.9,8.0,7.1,5.1,22.5,0.2,6.4,1610612765
1,2,New Jersey Nets,11,7,4,0.636,49.4,88.2,30.8,72.8,42.3,4.5,16.4,27.2,22.1,30.3,73.0,10.6,32.1,42.7,20.5,18.5,8.6,5.4,5.8,26.0,0.2,2.5,1610612751
2,3,Indiana Pacers,16,10,6,0.625,48.0,85.5,30.7,75.1,40.8,5.9,17.8,33.3,18.2,24.8,73.3,10.8,31.3,42.1,17.9,13.6,8.7,6.3,6.3,23.5,0.1,4.4,1610612754
3,4,San Antonio Spurs,10,6,4,0.6,48.0,89.3,33.5,76.2,44.0,6.9,18.9,36.5,15.4,23.9,64.4,12.6,29.7,42.3,19.4,15.5,7.7,4.2,5.2,22.8,0.1,3.1,1610612759
4,5,Los Angeles Lakers,22,13,9,0.591,48.5,88.1,33.0,74.5,44.4,5.0,15.5,32.1,17.1,27.9,61.2,10.2,30.0,40.2,22.6,12.6,7.3,4.2,3.4,22.9,0.1,0.9,1610612747
5,6,Sacramento Kings,12,7,5,0.583,48.4,95.2,35.3,82.9,42.5,5.8,16.8,34.8,18.8,24.8,75.8,10.9,33.1,44.0,22.8,14.3,9.4,3.7,6.3,21.1,0.0,0.1,1610612758
6,7,Minnesota Timberwolves,18,10,8,0.556,48.3,91.9,33.9,77.1,44.1,5.9,15.2,38.7,18.2,23.3,78.0,9.7,32.3,42.0,19.3,15.0,6.6,5.2,3.4,24.3,0.1,-0.1,1610612750
7,8,Miami Heat,13,6,7,0.462,48.0,84.1,30.5,74.8,40.8,3.7,13.4,27.6,19.3,25.6,75.4,11.4,30.5,41.8,16.3,14.2,7.5,4.1,5.0,24.4,0.2,0.2,1610612748
8,9,New Orleans Hornets,7,3,4,0.429,48.0,80.6,29.3,76.3,38.4,5.9,18.6,31.5,16.1,20.7,77.9,12.3,30.0,42.3,19.3,17.1,6.1,4.6,4.0,20.9,0.1,-3.0,1610612740
9,10,Dallas Mavericks,5,1,4,0.2,48.0,99.6,38.2,96.4,39.6,5.0,17.4,28.7,18.2,23.6,77.1,20.4,31.8,52.2,20.6,13.6,9.2,6.6,4.6,21.6,0.0,1.4,1610612742
10,10,Denver Nuggets,5,1,4,0.2,48.0,90.6,37.2,87.2,42.7,4.4,13.0,33.8,11.8,16.8,70.2,14.4,28.8,43.2,20.4,14.2,7.8,2.8,6.0,24.2,0.0,-4.0,1610612743
11,10,Houston Rockets,5,1,4,0.2,49.0,84.6,31.8,74.4,42.7,4.6,15.2,30.3,16.4,22.8,71.9,9.6,34.8,44.4,17.2,16.8,5.2,3.6,4.0,22.8,0.0,-5.4,1610612745
12,10,Milwaukee Bucks,5,1,4,0.2,48.0,85.6,32.4,77.8,41.6,4.8,14.4,33.3,16.0,21.6,74.1,11.2,28.0,39.2,20.6,16.4,8.2,4.2,8.0,22.4,0.2,-12.6,1610612749
13,14,Boston Celtics,4,0,4,0.0,48.0,84.5,28.8,70.5,40.8,5.3,15.8,33.3,21.8,27.0,80.6,9.3,31.8,41.0,17.5,19.8,6.5,5.0,6.0,20.3,0.0,-16.8,1610612738
14,14,Memphis Grizzlies,4,0,4,0.0,48.0,83.5,30.8,72.5,42.4,3.8,12.8,29.4,18.3,23.5,77.7,9.5,25.0,34.5,14.5,14.3,9.5,5.0,6.3,25.0,0.3,-14.0,1610612763
15,14,New York Knicks,4,0,4,0.0,48.0,84.0,30.8,80.0,38.4,4.3,14.5,29.3,18.3,25.3,72.3,12.3,26.3,38.5,19.5,16.3,9.3,4.0,5.0,28.0,0.0,-12.8,1610612752
